Name No.Members RadialVelocity
RC-X208-Y109-N037 37 -816.23
RC-X212-Y070-N039 39 -516.78
RC-X217-Y062-N035 35 -969.17
RG-X225-Y080-N015 15 -1094.16
RC-X211-Y104-N033 33 -847.68
RG-X213-Y101-N011 11 -1090.62
RC-X214-Y105-N037 37 -635.06
RC-X222-Y100-N023 23 -912.45
RG-X210-Y115-N010 10 -80.7
RC-X221-Y118-N027 27 -1110.8
RG-X221-Y134-N019 19 -518.21
RG-X223-Y125-N011 11 -1088.66
RC-X313-Y135-N023 23 -1027.2
RC-X307-Y137-N059 59 -740.4
RC-X295-Y140-N024 24 -770.87
RG-X303-Y143-N013 13 -687.22
RC-X253-Y139-N024 24 -1122.45
RC-X237-Y136-N031 31 -999.45
RC-X245-Y138-N065 65 -642.24
RC-X232-Y136-N046 46 -912.12
RG-X223-Y135-N005 5 -1074.53
RG-X225-Y139-N011 11 -624.66
RG-X317-Y142-N003 3 -696.45
RC-X326-Y138-N039 39 -678.74
RC-X314-Y152-N041 41 -438.62
RG-X321-Y148-N009 9 -1053.02
RC-X282-Y163-N026 26 -901.97
RC-X268-Y161-N027 27 -998.28
RC-X237-Y161-N045 45 -642.74
RG-X231-Y149-N010 10 -1012.32
RC-X213-Y143-N041 41 -346.54
RC-X353-Y148-N044 44 -741.85
RG-X360-Y139-N013 13 -1094.36
RC-X322-Y158-N026 26 -736.2
RC-X333-Y159-N061 61 -476.27
RC-X344-Y150-N043 43 -803.83
RG-X341-Y162-N003 3 -606.25
RG-X360-Y160-N003 3 -1078.33
RC-X338-Y167-N048 48 -712.31
RC-X333-Y171-N042 42 -818.36
RC-X228-Y165-N033 33 -571.91
RG-X000-Y139-N011 11 -1094.4
RG-X001-Y159-N016 16 -1078.55
RC-X001-Y162-N036 36 -872.09
RC-X002-Y163-N055 55 -756.99
RC-X008-Y159-N022 22 -791.32
RC-X020-Y155-N036 36 -1118.98
RG-X089-Y172-N014 14 -275.57
RC-X053-Y163-N051 51 -1071.72
RC-X142-Y175-N033 33 -997.73
RC-X127-Y166-N028 28 -1087.31
RG-X177-Y163-N017 17 -859.23
RC-X174-Y156-N026 26 -1000.78
RG-X177-Y137-N019 19 -1102.95
RG-X162-Y142-N015 15 -879.03
RC-X031-Y136-N048 48 -888.22
RC-X044-Y143-N031 31 -1126.33
RC-X086-Y152-N043 43 -303.25
RC-X111-Y152-N027 27 -983.35
RC-X146-Y146-N037 37 -499.49
RC-X152-Y137-N059 59 -646.41
RG-X140-Y143-N018 18 -1152.84
RC-X147-Y137-N070 70 -425.49
RC-X144-Y139-N022 22 -751.74
RC-X054-Y145-N028 28 -811.49
RC-X063-Y143-N031 31 -954.08
RC-X078-Y144-N034 34 -500.08
RC-X110-Y136-N035 35 -978.36
RC-X140-Y136-N028 28 -868.88
RC-X317-Y057-N052 52 -296.27
RC-X315-Y073-N045 45 -528.42
RC-X327-Y064-N020 20 -656.38
RC-X329-Y061-N037 37 -347.93
RC-X330-Y095-N022 22 -611.07
RC-X317-Y115-N047 47 -508.66
RC-X328-Y110-N024 24 -1141.81
RC-X323-Y124-N037 37 -943.81
RG-X336-Y071-N004 4 -577.88
RC-X343-Y070-N044 44 -908.56
RC-X343-Y068-N028 28 -711.85
RC-X331-Y090-N036 36 -328.06
RC-X331-Y104-N024 24 -763.49
RG-X336-Y109-N012 12 -561.45
RG-X342-Y118-N018 18 -1145.77
RC-X343-Y120-N030 30 -115.57
RG-X334-Y122-N018 18 -1055.91
RC-X337-Y124-N026 26 -532.44
RC-X349-Y060-N040 40 -821.92
RC-X346-Y070-N027 27 -686.95
RC-X355-Y073-N037 37 -989.77
RC-X356-Y068-N037 37 -518.23
RC-X348-Y080-N037 37 -463.69
RC-X350-Y105-N060 60 -207.21
RC-X350-Y097-N052 52 -810.97
RC-X354-Y096-N024 24 -932.43
RC-X358-Y102-N022 22 -439.66
RC-X351-Y110-N021 21 -1072.65
RC-X347-Y124-N050 50 -807.55
RG-X009-Y048-N009 9 -949.84
RC-X011-Y050-N033 33 -1039.62
RG-X009-Y081-N003 3 -1108.26
RC-X001-Y091-N046 46 -796.69
RG-X011-Y101-N010 10 -1132.53
RC-X005-Y107-N043 43 -559.58
RC-X015-Y107-N055 55 -567.29
RG-X012-Y122-N012 12 -699.56
RC-X025-Y058-N027 27 -1090.19
RG-X026-Y050-N015 15 -1090.47
RC-X020-Y062-N039 39 -1028.56
RC-X023-Y064-N024 24 -954.51
RC-X017-Y076-N034 34 -594.32
RC-X018-Y081-N020 20 -1147.16
RG-X027-Y080-N003 3 -559.97
RC-X028-Y083-N042 42 -1051.39
RC-X016-Y093-N023 23 -738.94
RG-X023-Y104-N005 5 -1043.62
RC-X024-Y093-N032 32 -210.15
RC-X016-Y133-N043 43 -614.11
RC-X016-Y129-N050 50 -491.6
RC-X023-Y132-N031 31 -785.68
RC-X036-Y048-N047 47 -776.44
RC-X039-Y057-N043 43 -353.35
RC-X037-Y068-N038 38 -676.89
RG-X042-Y063-N016 16 -603.93
RG-X030-Y087-N010 10 -1122.76
RG-X034-Y076-N016 16 -1129.51
RC-X031-Y105-N037 37 -253.25
RC-X031-Y104-N066 66 -725.29
RC-X041-Y094-N026 26 -1050.54
RC-X042-Y097-N045 45 -843.0
RC-X044-Y101-N037 37 -1111.25
RC-X031-Y118-N102 102 -585.86
RC-X040-Y120-N028 28 -676.27
RC-X035-Y133-N038 38 -585.84
RC-X229-Y066-N029 29 -971.4
RC-X233-Y069-N046 46 -685.19
RC-X236-Y062-N051 51 -974.84
RC-X227-Y085-N042 42 -691.58
RC-X239-Y105-N043 43 -645.84
RC-X229-Y132-N028 28 -379.0
RG-X244-Y045-N006 6 -283.45
RC-X251-Y053-N049 49 -486.21
RC-X252-Y051-N033 33 -938.88
RC-X249-Y068-N044 44 -616.26
RG-X250-Y060-N019 19 -1153.34
RG-X251-Y069-N008 8 -431.28
RC-X251-Y083-N052 52 -468.15
RC-X251-Y082-N021 21 -178.8
RC-X253-Y089-N035 35 -565.91
RC-X251-Y100-N027 27 -433.42
RC-X243-Y110-N043 43 -936.51
RC-X267-Y057-N023 23 -1011.79
RC-X258-Y083-N043 43 -955.87
RC-X262-Y080-N036 36 -1098.85
RC-X267-Y087-N024 24 -558.22
RC-X259-Y093-N041 41 -672.49
RG-X269-Y092-N004 4 -643.89
RC-X255-Y112-N022 22 -936.44
RG-X266-Y120-N017 17 -393.38
RG-X271-Y045-N010 10 -308.77
RC-X275-Y046-N033 33 -756.54
RC-X276-Y048-N026 26 -914.18
RC-X278-Y052-N025 25 -868.93
RC-X280-Y051-N030 30 -976.08
RC-X281-Y056-N044 44 -539.06
RC-X279-Y078-N047 47 -1083.64
RG-X278-Y100-N016 16 -768.48
RG-X280-Y093-N019 19 -934.1
RG-X276-Y117-N016 16 -1113.71
RC-X283-Y108-N041 41 -717.03
RC-X280-Y133-N040 40 -742.89
RC-X292-Y050-N033 33 -122.1
RC-X286-Y074-N024 24 -681.86
RC-X294-Y088-N022 22 -152.46
RG-X297-Y089-N009 9 -991.21
RC-X299-Y081-N030 30 -1083.28
RC-X288-Y102-N060 60 -357.42
RC-X297-Y118-N066 66 -352.32
RC-X290-Y122-N031 31 -848.76
RC-X300-Y121-N024 24 -480.15
RC-X304-Y052-N050 50 -397.47
RC-X302-Y066-N033 33 -868.25
RG-X307-Y070-N013 13 -1140.57
RG-X314-Y067-N014 14 -419.32
RC-X312-Y079-N053 53 -544.5
RC-X301-Y108-N023 23 -1042.05
RC-X305-Y118-N039 39 -323.32
RG-X310-Y108-N018 18 -932.24
RC-X314-Y110-N027 27 -994.79
RC-X309-Y134-N041 41 -989.52
RC-X051-Y063-N050 50 -123.03
RC-X054-Y079-N051 51 -874.21
RC-X054-Y099-N045 45 -891.43
RC-X057-Y124-N035 35 -953.86
RC-X061-Y066-N046 46 -708.79
RC-X065-Y075-N026 26 -832.15
RC-X074-Y061-N031 31 -186.68
RC-X063-Y083-N038 38 -1087.75
RC-X067-Y085-N046 46 -725.56
RG-X071-Y078-N003 3 -897.5
RG-X061-Y091-N008 8 -748.18
RC-X069-Y098-N029 29 -1028.14
RC-X072-Y098-N062 62 -803.56
RC-X062-Y113-N020 20 -474.47
RG-X064-Y106-N003 3 -836.39
RC-X072-Y107-N024 24 -860.05
RC-X073-Y115-N024 24 -1151.59
RC-X064-Y123-N044 44 -449.67
RC-X069-Y120-N026 26 -750.7
RC-X087-Y049-N033 33 -483.24
RC-X078-Y069-N049 49 -926.78
RC-X078-Y077-N051 51 -966.14
RC-X083-Y089-N040 40 -887.06
RC-X085-Y076-N056 56 -582.76
RC-X077-Y091-N039 39 -884.1
RC-X087-Y093-N050 50 -758.12
RC-X078-Y111-N025 25 -970.36
RC-X076-Y122-N063 63 -852.71
RC-X100-Y064-N034 34 -926.11
RG-X094-Y090-N009 9 -545.36
RG-X104-Y077-N014 14 -268.19
RC-X092-Y096-N021 21 -1112.07
RG-X097-Y102-N016 16 -193.55
RG-X098-Y105-N009 9 -193.54
RC-X099-Y104-N074 74 -208.47
RC-X096-Y115-N032 32 -327.49
RC-X095-Y124-N038 38 -912.0
RC-X100-Y127-N021 21 -1041.89
RC-X110-Y051-N057 57 -380.98
RG-X113-Y053-N003 3 -828.64
RC-X112-Y081-N046 46 -243.58
RC-X115-Y090-N031 31 -192.19
RG-X119-Y104-N019 19 -589.3
RC-X110-Y107-N035 35 -391.85
RG-X110-Y112-N011 11 -1146.75
RC-X109-Y128-N052 52 -511.53
RC-X116-Y132-N045 45 -908.47
RC-X121-Y060-N035 35 -633.98
RG-X122-Y059-N015 15 -1133.02
RC-X128-Y059-N040 40 -953.24
RC-X126-Y071-N025 25 -969.89
RC-X121-Y099-N051 51 -794.91
RC-X123-Y091-N032 32 -1121.92
RC-X127-Y105-N053 53 -346.7
RC-X128-Y101-N028 28 -464.06
RC-X132-Y118-N044 44 -551.88
RG-X130-Y127-N007 7 -846.19
RC-X216-Y044-N020 20 -861.01
RC-X241-Y045-N027 27 -435.65
RC-X240-Y045-N025 25 -283.4
RC-X239-Y044-N026 26 -1113.87
RG-X230-Y036-N003 3 -919.13
RC-X238-Y033-N035 35 -999.26
RC-X286-Y044-N021 21 -732.57
RC-X283-Y038-N039 39 -525.93
RG-X295-Y033-N019 19 -1055.28
RC-X301-Y043-N037 37 -552.68
RC-X291-Y041-N040 40 -807.24
RC-X304-Y037-N045 45 -852.48
RC-X310-Y044-N054 54 -380.22
RC-X211-Y043-N030 30 -925.46
RC-X211-Y042-N052 52 -618.16
RC-X241-Y031-N034 34 -703.23
RC-X223-Y030-N037 37 -642.37
RG-X288-Y030-N018 18 -443.93
RC-X285-Y026-N040 40 -495.32
RG-X279-Y023-N006 6 -675.97
RC-X273-Y019-N032 32 -358.39
RG-X335-Y043-N011 11 -681.22
RC-X201-Y035-N038 38 -1094.29
RC-X195-Y038-N022 22 -553.2
RG-X187-Y040-N016 16 -1090.97
RC-X253-Y011-N029 29 -501.32
RC-X183-Y014-N032 32 -545.35
RC-X320-Y019-N041 41 -637.06
RC-X347-Y024-N025 25 -1064.12
RC-X350-Y025-N038 38 -690.0
RC-X354-Y045-N020 20 -1032.04
RG-X163-Y045-N017 17 -725.58
RC-X101-Y010-N045 45 -446.05
RG-X136-Y019-N008 8 -712.06
RC-X093-Y014-N031 31 -1011.06
RG-X093-Y015-N009 9 -1125.43
RC-X046-Y005-N043 43 -1013.27
RG-X056-Y011-N017 17 -1151.02
RC-X060-Y012-N038 38 -621.18
RC-X016-Y027-N021 21 -630.69
RC-X034-Y019-N038 38 -308.33
RC-X004-Y036-N042 42 -1073.54
RC-X015-Y039-N022 22 -1083.1
RC-X156-Y040-N050 50 -186.95
RC-X152-Y040-N034 34 -724.39
RC-X104-Y030-N038 38 -164.53
RG-X037-Y030-N016 16 -1003.86
RC-X028-Y033-N023 23 -1060.16
RG-X098-Y044-N009 9 -472.78
RC-X100-Y044-N036 36 -851.59
RG-X076-Y031-N018 18 -1142.86
RC-X085-Y040-N075 75 -671.92
RC-X087-Y045-N033 33 -435.63
RC-X055-Y040-N024 24 -1074.69
RC-X059-Y041-N024 24 -980.54
RG-X045-Y045-N008 8 -900.05
