name x y flux1 flux2 flux3 par rv
P02420 -18.741  -4.280 3.38e-14 1.61e-14 6.74e-15   0.001   -1.74
P07766 -18.805  -4.090 2.89e-14 1.50e-14 6.87e-15   0.003   -1.11
P03457 -18.830  -4.784 1.82e-16 1.52e-16 8.93e-17   0.000   -2.57
P05368 -18.819  -4.384 7.07e-15 3.85e-15 1.73e-15   0.002   -1.76
P03682 -18.750  -4.827 2.16e-16 1.44e-16 9.53e-17   0.001   -3.15
P08538 -18.590  -4.466 1.85e-14 8.96e-15 3.78e-15   0.003   -2.45
P05989 -18.753  -3.874 1.77e-15 1.02e-15 6.17e-16   0.001   -1.90
P09747 -18.731  -4.456 4.04e-13 1.40e-13 8.59e-14   0.002   -1.53
P04011 -18.782  -4.352 4.98e-15 2.87e-15 1.28e-15   0.003   -1.92
P01798 -18.681  -4.151 2.87e-15 1.64e-15 8.28e-16   0.001   -1.88
P04040 -18.818  -4.263 4.85e-16 3.49e-16 1.97e-16   0.000   -2.39
P04734 -18.785  -4.445 1.20e-14 6.48e-15 2.85e-15   0.002   -2.96
P02175 -18.683  -4.428 1.62e-16 1.28e-16 8.29e-17   0.001   -2.62
P00337 -18.767  -4.075 2.48e-13 1.35e-13 5.21e-14   0.002   -1.85
P02564 -18.580  -4.203 4.90e-15 2.40e-15 1.21e-15   0.001   -2.38
P06605 -18.754  -4.584 2.95e-14 1.38e-14 6.15e-15   0.001   -2.90
P06724 -18.624  -4.136 1.91e-16 1.52e-16 1.02e-16   0.002   -2.09
P03695 -18.675  -4.143 3.09e-16 2.36e-16 1.66e-16   0.002   -2.52
P05994 -18.640  -4.255 1.32e-15 6.77e-16 4.23e-16   0.002   -2.64
P05540 -18.675  -2.960 2.18e-17 2.42e-17 1.84e-17   0.001   -1.34
P08437 -18.624  -4.374 1.11e-17 1.40e-17 1.21e-17   0.001   -3.62
P08959 -18.642  -4.573 2.25e-14 1.35e-14 5.47e-15   0.002   -3.58
P03056 -18.637  -4.172 2.02e-14 8.53e-15 3.98e-15   0.003   -3.13
P04373 -18.606  -4.185 4.92e-15 2.68e-15 1.10e-15   0.002   -2.96
P05376 -18.614  -4.211 2.33e-14 1.08e-14 5.67e-15   0.001   -3.83
P06291 -18.579  -4.044 2.52e-15 1.41e-15 6.66e-16   0.002   -3.28
P02927 -18.448  -4.342 8.24e-13 5.05e-13 2.69e-13   0.002   -4.03
P04283 -18.556  -4.118 2.02e-16 1.62e-16 1.08e-16   0.001   -2.84
P10074 -18.473  -4.436 2.18e-17 2.29e-17 1.75e-17   0.003   -4.45
P04656 -18.348  -3.715 5.65e-16 3.91e-16 2.31e-16   0.001   -3.34
P10226 -18.491  -4.281 4.28e-17 4.30e-17 3.04e-17   0.000   -4.52
P02426 -18.405  -4.745 3.82e-13 2.23e-13 1.05e-13   0.003   -5.18
P04730 -18.420  -9.677 6.49e-15 4.51e-15 3.03e-15   0.003   -4.85
P02152 -18.379  -3.696 7.14e-17 6.26e-17 4.92e-17   0.000   -3.12
P02922 -18.351  -4.143 7.52e-13 5.56e-13 3.45e-13   0.002   -3.33
P00921 -18.273  -3.705 3.27e-13 4.85e-13 3.96e-13  -0.000   -2.95
P03283 -18.427  -4.257 4.20e-16 3.21e-16 1.59e-16   0.001   -4.99
P04247 -18.338  -4.658 4.32e-15 2.19e-15 1.20e-15   0.002   -5.40
P08426 -18.341  -4.161 2.16e-15 1.38e-15 6.37e-16   0.001   -4.52
P05054 -18.225  -8.136 4.43e-16 4.58e-16 3.53e-16   0.003   -5.04
P06721 -18.357  -4.259 1.78e-17 1.67e-17 1.44e-17   0.003   -5.07
P00904 -18.268  -4.598 4.35e-16 2.75e-16 1.94e-16   0.002   -5.10
P08471 -18.180  -4.268 4.07e-14 1.95e-14 8.74e-15  -0.001   -4.48
P05578 -18.248  -4.552 7.47e-16 4.96e-16 3.24e-16   0.001   -4.74
P07038 -18.100  -4.346 2.12e-14 1.13e-14 4.13e-15   0.001   -5.21
P03820 -18.070  -4.063 6.17e-13 3.75e-13 1.88e-13   0.002   -3.43
P04790 -17.954  -4.298 1.15e-17 1.42e-17 1.16e-17   0.002   -5.34
P01731 -18.105  -4.392 6.82e-16 5.14e-16 2.75e-16  -0.001   -4.73
P06113 -18.028  -4.045 1.33e-17 1.50e-17 1.30e-17  -0.001   -3.67
P03036 -17.997  -4.805 5.33e-16 4.15e-16 1.97e-16   0.002   -4.68
P03675 -17.925  -5.099 1.77e-11 2.19e-11 2.22e-11   0.011    0.89
P01846 -17.843  -4.177 2.66e-17 2.50e-17 2.15e-17   0.002   -5.65
P10301 -17.921  -4.144 1.22e-15 7.12e-16 3.96e-16   0.004   -4.29
P06065 -17.787  -4.550 2.41e-16 2.32e-16 1.24e-16  -0.000   -5.95
P04797 -17.990  -4.183 2.20e-16 1.83e-16 1.18e-16   0.000   -5.93
P02344 -17.698  -8.804 9.23e-15 5.23e-15 3.01e-15   0.004   -4.69
P05704 -17.800  -4.255 2.35e-15 1.38e-15 7.42e-16   0.001   -4.44
P04549 -17.656  -4.492 5.93e-16 4.53e-16 2.54e-16   0.001   -6.21
P08271 -17.716  -5.679 2.09e-17 3.37e-17 3.67e-17   0.005   -4.45
P00641 -17.659  -4.443 1.16e-15 6.62e-16 4.07e-16   0.001   -6.19
P00135 -17.718  -4.241 6.61e-17 5.96e-17 4.26e-17   0.001   -5.75
P00292 -17.672  -4.590 6.20e-15 3.24e-15 1.53e-15   0.002   -6.20
P06664 -17.544  -4.245 1.69e-14 1.02e-14 4.98e-15   0.004   -0.03
P04062 -17.687  -4.505 3.65e-16 2.73e-16 1.68e-16   0.001   -5.94
P08912 -17.377  -1.737 9.41e-14 4.11e-14 1.84e-14   0.004   -1.40
P07270 -17.312  -7.628 6.35e-17 7.20e-17 6.97e-17   0.006    0.22
P08953 -17.306  -0.524 1.61e-16 1.89e-16 1.52e-16   0.007   -0.78
P05560 -17.207  -4.787 5.75e-15 2.96e-15 1.56e-15   0.002   -5.66
P08612 -17.051 -10.887 7.39e-15 5.04e-15 2.82e-15   0.003   -4.74
P10426 -16.926  -4.546 2.74e-14 1.49e-14 6.25e-15   0.003   -5.65
P08119 -16.888  -4.804 4.61e-17 4.15e-17 3.65e-17   0.002   -6.86
P05547 -16.735  -4.874 1.01e-15 7.03e-16 3.44e-16   0.002   -6.60
P04722 -16.796  -4.671 1.10e-15 6.79e-16 4.15e-16   0.003   -6.34
P05402 -16.647  -7.397 4.15e-14 2.37e-14 1.03e-14   0.003   -5.20
P09730 -16.618  -4.881 2.42e-14 1.30e-14 5.57e-15   0.003   -6.77
P04336 -16.444  -4.660 8.19e-17 7.13e-17 5.14e-17   0.002   -6.92
P05828 -16.290  -5.053 1.01e-15 6.63e-16 3.53e-16   0.001   -6.81
P03762 -16.022  -9.743 4.32e-16 3.58e-16 2.67e-16   0.005   -5.11
P07390 -15.966  -9.852 4.86e-15 3.91e-15 1.78e-15   0.004   -5.21
P03165 -15.669  -4.767 3.30e-17 3.32e-17 2.86e-17  -0.000   -5.90
P02982 -15.688  -3.131 3.61e-15 2.42e-15 1.50e-15   0.004   -0.04
