name x y flux1 flux2 flux3 par rv
P09158 -23.959  -5.120 7.75e-12 4.80e-12 2.41e-12   0.004   -1.16
P10191 -23.799  -7.087 1.03e-15 9.18e-16 5.98e-16   0.005    0.42
P03468 -23.807  -2.017 7.82e-16 5.97e-16 4.07e-16   0.004   -1.78
P03968 -23.806  -4.710 4.74e-12 2.54e-12 1.25e-12   0.004   -1.15
P00293 -23.945  -6.218 1.91e-15 1.49e-15 9.99e-16   0.005    0.19
P03804 -23.887 -11.951 1.40e-14 9.31e-15 5.69e-15   0.003    1.06
P07278 -23.770  -4.837 2.57e-14 1.56e-14 8.11e-15   0.005   -1.55
P10338 -23.550  -5.880 3.15e-17 5.28e-17 4.94e-17   0.004   -0.25
P03720 -23.658  -4.893 2.16e-15 1.77e-15 1.20e-15   0.006   -1.56
P00398 -23.759  -6.158 2.46e-13 1.43e-13 5.85e-14   0.006   -0.34
P06907 -23.821  -6.390 3.47e-13 1.78e-13 8.29e-14   0.004   -0.28
P04873 -23.686  -2.564 1.88e-15 1.59e-15 1.07e-15   0.004   -2.36
P08960 -23.438  -6.103 3.03e-16 2.70e-16 2.42e-16   0.004   -0.30
P03877 -23.752  -4.346 8.98e-12 5.55e-12 2.98e-12   0.005   -1.92
P03114 -23.560  -4.059 1.09e-13 5.54e-14 2.74e-14   0.005   -1.73
P07329 -23.474  -7.296 2.96e-15 1.97e-15 1.24e-15   0.004    0.61
P02029 -23.396  -0.378 3.42e-12 2.10e-12 8.30e-13   0.005   -2.02
P09570 -23.288  -4.894 5.73e-17 7.47e-17 8.12e-17   0.004   -1.20
P06990 -23.231  -5.573 7.17e-17 8.32e-17 7.40e-17   0.004   -1.14
P10427 -23.257  -8.005 2.83e-17 3.83e-17 4.07e-17   0.007    0.24
P06840 -23.227  -5.432 9.09e-12 7.28e-12 4.91e-12   0.005   -0.84
P06660 -23.130  -2.593 3.00e-17 5.13e-17 5.44e-17   0.006   -2.40
P05136 -23.095  -5.843 9.15e-12 6.40e-12 3.90e-12   0.005   -0.89
P07072 -23.001  -5.461 6.80e-15 5.09e-15 2.39e-15   0.004   -1.50
P03082 -22.907  -3.924 2.22e-15 1.72e-15 1.32e-15   0.004   -1.90
P03158 -22.835  -3.906 1.14e-14 9.07e-14 5.11e-13   0.005   -1.65
P07143 -22.493  -7.562 4.72e-12 2.50e-12 1.19e-12   0.005   -0.13
P05941 -22.497  -2.739 4.85e-12 2.71e-12 1.47e-12   0.005   -2.48
P01364 -22.342  -4.822 4.10e-13 2.28e-13 9.57e-14   0.007   -1.03
P06441 -22.387  -7.357 3.23e-15 2.24e-15 1.41e-15   0.006   -0.10
P03628 -22.315  -6.903 9.80e-12 5.59e-12 2.47e-12   0.007   -0.37
P02698 -22.197  -9.290 1.79e-14 1.13e-14 5.46e-15   0.008    0.19
P06629 -22.059  -8.824 8.39e-17 9.49e-17 9.45e-17   0.006    0.00
P09679 -22.237  -2.273 4.04e-14 2.09e-14 1.11e-14   0.005   -2.29
P06694 -21.947  -3.498 4.22e-16 4.17e-16 3.20e-16   0.005   -1.99
P08999 -22.027  -5.748 1.17e-15 9.24e-16 6.42e-16   0.005   -0.77
P02074 -21.783  -9.790 1.15e-17 1.82e-17 2.26e-17   0.005    1.32
P09633 -21.748  -1.047 5.80e-16 4.73e-16 3.56e-16   0.004   -2.62
P03660 -21.852  -4.257 5.11e-17 6.86e-17 6.57e-17   0.005   -1.40
P01207 -21.682  -4.538 1.76e-15 1.71e-15 9.92e-16   0.004   -1.28
P08100 -21.761  -4.676 1.28e-17 7.65e-18 5.35e-18   0.007   -1.19
P05205 -21.606  -6.009 1.61e-13 8.39e-14 3.49e-14   0.005   -0.89
P04669 -21.501  -2.069 1.47e-13 8.36e-14 4.02e-14   0.004   -2.62
P01356 -21.283  -0.096 1.74e-13 6.95e-13 1.76e-12   0.006   -2.82
P07924 -20.579  -0.225 8.45e-12 4.80e-12 2.77e-12   0.006   -2.54
P00012 -20.528  -1.684 4.01e-13 1.82e-13 8.98e-14   0.004   -2.64
P08750 -20.188  -2.598 1.63e-13 8.79e-14 4.10e-14   0.005   -1.78
P08435 -19.842 -12.350 1.11e-13 5.93e-14 3.48e-14   0.006    0.30
P01251 -16.035 -10.888 1.61e-13 9.18e-14 4.36e-14   0.007   -0.06
