name x y flux1 flux2 flux3 par rv
P02610  34.621  -8.476 1.21e-12 6.03e-13 3.03e-13   0.003   -0.33
P08856  34.673  -5.270 1.91e-16 1.37e-16 1.15e-16   0.003   -1.05
P09412  34.717  -8.547 1.29e-14 7.28e-15 3.46e-15   0.001   -0.22
P03883  34.697  -7.550 3.24e-14 1.53e-14 6.76e-15   0.002   -0.84
P08012  34.974  -6.745 1.27e-14 6.27e-15 3.38e-15   0.002   -1.16
P05013  34.981  -8.623 1.63e-12 1.08e-12 6.83e-13   0.003   -0.19
P10127  35.023  -9.101 3.72e-14 1.78e-14 8.90e-15   0.001    0.09
P09519  35.064  -8.320 2.16e-17 2.32e-17 1.86e-17   0.002   -0.57
P01020  35.206  -7.583 7.02e-15 4.23e-15 1.86e-15   0.002   -0.93
P02825  35.114 -12.913 1.02e-12 1.06e-12 8.73e-13   0.003    1.71
P10397  35.288  -7.218 3.55e-16 3.16e-16 1.78e-16   0.000   -1.11
P09052  35.541  -0.785 2.21e-15 1.37e-15 6.86e-16   0.003   -1.33
P07153  35.572  -8.503 9.12e-16 5.88e-16 3.71e-16   0.002   -0.41
P06405  36.100 -11.264 9.14e-13 5.07e-13 2.35e-13   0.000    0.82
P06032  36.404  -6.367 1.38e-16 1.24e-16 7.77e-17   0.003   -1.19
P04871  37.818  -3.796 5.82e-13 3.18e-13 1.48e-13   0.002   -1.66
P06235  38.652  -4.528 2.44e-14 1.53e-14 5.94e-15   0.003   -1.47
P05827  39.280 -11.077 2.51e-16 1.99e-16 1.25e-16   0.002    0.24
